region,size,threads,computation_time,total_time
1,64,32,0.0008,0.0011
2,64,32,0.0025,0.0028
3,64,32,0.0017,0.0020
4,64,32,0.0028,0.0030
1,64,32,0.0006,0.0008
2,64,32,0.0029,0.0032
3,64,32,0.0030,0.0033
4,64,32,0.0029,0.0031
1,64,32,0.0007,0.0009
2,64,32,0.0017,0.0020
3,64,32,0.0022,0.0025
4,64,32,0.0025,0.0028
1,64,32,0.0008,0.0011
2,64,32,0.0028,0.0030
3,64,32,0.0030,0.0034
4,64,32,0.0031,0.0034
1,64,32,0.0007,0.0010
2,64,32,0.0026,0.0029
3,64,32,0.0033,0.0036
4,64,32,0.0033,0.0036
1,64,32,0.0007,0.0009
2,64,32,0.0022,0.0025
3,64,32,0.0021,0.0024
4,64,32,0.0019,0.0022
1,128,1,0.0026,0.0033
2,128,1,0.0173,0.0180
3,128,1,0.0158,0.0167
4,128,1,0.0198,0.0205
1,128,1,0.0026,0.0032
2,128,1,0.0174,0.0181
3,128,1,0.0167,0.0173
4,128,1,0.0194,0.0203
1,128,1,0.0025,0.0032
2,128,1,0.0173,0.0180
3,128,1,0.0174,0.0182
4,128,1,0.0192,0.0199
1,128,1,0.0025,0.0032
2,128,1,0.0168,0.0174
3,128,1,0.0160,0.0168
4,128,1,0.0190,0.0200
1,128,1,0.0025,0.0032
2,128,1,0.0168,0.0176
3,128,1,0.0161,0.0170
4,128,1,0.0194,0.0203
1,128,1,0.0025,0.0032
2,128,1,0.0169,0.0176
3,128,1,0.0162,0.0170
4,128,1,0.0191,0.0197
1,128,1,0.0023,0.0029
2,128,1,0.0169,0.0177
3,128,1,0.0159,0.0165
4,128,1,0.0188,0.0194
1,128,1,0.0025,0.0037
2,128,1,0.0172,0.0179
3,128,1,0.0159,0.0166
4,128,1,0.0193,0.0202
1,128,1,0.0025,0.0033
2,128,1,0.0168,0.0176
3,128,1,0.0165,0.0172
4,128,1,0.0198,0.0204
1,128,1,0.0025,0.0032
2,128,1,0.0174,0.0181
3,128,1,0.0159,0.0168
4,128,1,0.0190,0.0200
1,128,2,0.0013,0.0022
2,128,2,0.0098,0.0107
3,128,2,0.0084,0.0092
4,128,2,0.0107,0.0115
1,128,2,0.0014,0.0022
2,128,2,0.0099,0.0108
3,128,2,0.0082,0.0090
4,128,2,0.0105,0.0114
1,128,2,0.0014,0.0023
2,128,2,0.0096,0.0103
3,128,2,0.0086,0.0094
4,128,2,0.0107,0.0115
1,128,2,0.0014,0.0023
2,128,2,0.0099,0.0107
3,128,2,0.0085,0.0094
4,128,2,0.0107,0.0115
1,128,2,0.0014,0.0021
2,128,2,0.0097,0.0104
3,128,2,0.0084,0.0092
4,128,2,0.0104,0.0112
1,128,2,0.0014,0.0021
2,128,2,0.0101,0.0108
3,128,2,0.0084,0.0092
4,128,2,0.0108,0.0115
1,128,2,0.0014,0.0021
2,128,2,0.0101,0.0110
3,128,2,0.0085,0.0093
4,128,2,0.0108,0.0117
1,128,2,0.0015,0.0022
2,128,2,0.0098,0.0106
3,128,2,0.0085,0.0092
4,128,2,0.0107,0.0116
1,128,2,0.0014,0.0022
2,128,2,0.0099,0.0107
3,128,2,0.0084,0.0092
4,128,2,0.0105,0.0113
1,128,2,0.0014,0.0022
2,128,2,0.0100,0.0107
3,128,2,0.0083,0.0093
4,128,2,0.0104,0.0112
1,128,4,0.0013,0.0023
2,128,4,0.0053,0.0062
3,128,4,0.0049,0.0057
4,128,4,0.0057,0.0065
1,128,4,0.0013,0.0022
2,128,4,0.0053,0.0061
3,128,4,0.0049,0.0057
4,128,4,0.0056,0.0064
1,128,4,0.0014,0.0024
2,128,4,0.0053,0.0060
3,128,4,0.0049,0.0056
4,128,4,0.0056,0.0064
1,128,4,0.0015,0.0024
2,128,4,0.0053,0.0061
3,128,4,0.0049,0.0057
4,128,4,0.0056,0.0063
1,128,4,0.0014,0.0023
2,128,4,0.0053,0.0063
3,128,4,0.0049,0.0059
4,128,4,0.0056,0.0065
1,128,4,0.0013,0.0021
2,128,4,0.0053,0.0060
3,128,4,0.0050,0.0057
4,128,4,0.0057,0.0064
1,128,4,0.0014,0.0024
2,128,4,0.0053,0.0060
3,128,4,0.0049,0.0057
4,128,4,0.0058,0.0066
1,128,4,0.0014,0.0021
2,128,4,0.0056,0.0066
3,128,4,0.0049,0.0057
4,128,4,0.0056,0.0063
1,128,4,0.0013,0.0021
2,128,4,0.0057,0.0066
3,128,4,0.0050,0.0059
4,128,4,0.0056,0.0064
1,128,4,0.0014,0.0024
2,128,4,0.0054,0.0063
3,128,4,0.0054,0.0063
4,128,4,0.0056,0.0065
1,128,8,0.0012,0.0020
2,128,8,0.0031,0.0039
3,128,8,0.0029,0.0038
4,128,8,0.0050,0.0061
1,128,8,0.0012,0.0020
2,128,8,0.0031,0.0039
3,128,8,0.0029,0.0038
4,128,8,0.0033,0.0043
1,128,8,0.0012,0.0020
2,128,8,0.0031,0.0039
3,128,8,0.0038,0.0048
4,128,8,0.0033,0.0042
1,128,8,0.0012,0.0020
2,128,8,0.0032,0.0040
3,128,8,0.0030,0.0039
4,128,8,0.0033,0.0042
1,128,8,0.0012,0.0021
2,128,8,0.0035,0.0044
3,128,8,0.0060,0.0069
4,128,8,0.0033,0.0042
1,128,8,0.0012,0.0020
2,128,8,0.0031,0.0040
3,128,8,0.0030,0.0039
4,128,8,0.0037,0.0046
1,128,8,0.0012,0.0021
2,128,8,0.0031,0.0041
3,128,8,0.0030,0.0039
4,128,8,0.0033,0.0042
1,128,8,0.0012,0.0021
